Kode,Nama,Jumlah,Harga,Total
KK1140,RAMBAK,11,5000,55000
KK0174,VIP  FILTER BKS 12'S,3,11500,34500
KK1635,SOSIS CHAMP AYAM,4,1000,4000
KK1870,SERUPUT KOPI SUSU TULEN 200ML,1,3000,3000
KK0291,ROSE BRAND TP BERAS 500g,2,6500,13000
KK1043,MI SOHUN KACA,2,500,1000
KK0455,LEMONILO MIE GORENG 77g,4,6000,24000
KK0434,MENARA  FILTER BOLD BKS 12'S,2,11500,23000
KK0057,KOREK GAS TOKAI,27,2000,54000
KK0657,ANDALAN KRETEK 16,56,9000,504000
KK1878,TEH TONG TJI ORI SACET,5,1500,7500
KK0025,TESSA 50 'S,2,2500,5000
KK0543,GG SURYA PRO MILD 16's,24,21500,516000
KK0481,SEDAAP MIE SOTO PCK 75g,42,2500,105000
KK1528,SEDAAP BASO SPESIAL,1,2500,2500
KK1799,SEDAAP AYAM SPESIAL,2,2500,5000
KK1435,INDOMIE GORENG ACEH,3,3000,9000
KK1168,CLAS MILD 16,10,23500,235000
KK1333,AICE FREZY CHOCO,34,2000,68000
KK0659,TIC TIC CRNCHY STK 22G,5,2000,10000
KK0858,FRUIT TEA PCH APPLE,22,2000,44000
KK0633,LAYS NORI SEAWED 24G,1,2000,2000
KK0531,S/M JAMU TOLAK ANGIN CAIR + MADU  SCT 15mL,10,3000,30000
KK0687,MARLBORO FILTER BLACK 20',1,29000,29000
KK1153,AICE STRAWBERY CRISPY,3,3000,9000
KK0331,SEGITIGA BIRU TERIGU TRANSPARAN  PCK 1000g,2,9500,19000
KK1357,TEH KOTAK BLACKCURRANT 200ML,3,3500,10500
KK1084,TEH SOSRO CELUP 25',2,5000,10000
KK0032,MOTO MOBIL 250G,5,9000,45000
KK1680,MODERN CUTTON BUD KECIL,1,3500,3500
KK0644,ULTRAMILK STRAWBERRY 125ML,4,3000,12000
KK0903,RAPIAH 2000,8,2000,16000
KK0130,DELFI CHOCOLATE WAFER TOP  PCK 16/13g,10,1000,10000
KK1530,SEDAAP AYAM BAWANG TELUR,5,2500,12500
KK0361,TEH SOKLAT BSR,13,29500,383500
KK1744,ICHI OCHA TEH JASMINES 350ML,2,3000,6000
KK1679,TOP + GULA,12,1000,12000
KK1665,TISU JOLLY 250S,5,8000,40000
KK0392,MIXAGRIP FLU (4)  STR,2,2500,5000
KK1720,NUVO BAR RELAX&PROTECT 76G,2,2500,5000
KK1890,TIC TAC RASA AYAM BAWANG 90G,1,6000,6000
KK0303,NEXTAR CHOCO BROWNIES  PCK 42g,11,2000,22000
KK1827,GOODTIME CLASSIC 72G,3,6500,19500
KK1822,GITA SNACK BALL KEJU,1,10000,10000
KK1554,ROMA MALKIS KELAPA KOPYOR 252G,4,6500,26000
KK0484,EKO MIE MI KERING SCT 120g,4,2000,8000
KK1789,SUKSES ISI 2 GORENG AYAM KECAP,1,3500,3500
KK0148,KAPAL API SUSU 31GR,7,1500,10500
KK0107,AQUA AIR MINERAL  BTL 1500mL,7,5000,35000
KK0329,CIMORY STROWBERRY 125ML,4,2500,10000
KK0105,BENG-BENG WAFER CHOCOLATE PCK 20g,9,1500,13500
KK0309,C/LANG MINYAK KAYU PUTIH BTL 15mL,4,6000,24000
KK1340,TALITA ROTI GAPLEK,12,5000,60000
KK0544,GG  KRETEK MERAH 12'S,3,14000,42000
KK1152,AICE COFFE CRISPY,5,3000,15000
KK1160,AICE COKLAT CUP SUNDAE,11,5000,55000
KK0646,HILO CHOCLATE 14GR,4,1500,6000
KK1249,NEXTAR STRAWBERRY,17,2000,34000
KK0305,NEXTAR NASTAR COOKIES PINEAPPLE PCK 42g,2,1000,2000
KK1707,GUDANG BARU ORIGIN 12,2,13000,26000
KK0714,BENDERA FF SKM GOLD KALENG 370G,3,14500,43500
KK1491,MADU TJ  SCT,1,1000,1000
KK0371,S/T SUKI STICK JEPANG,17,1000,17000
KK1529,SEDAAP WHITE CURRY,4,2500,10000
KK0021,CHITATO SAPI PGG 15g,7,2000,14000
KK0539,GG SURYA 16'S,11,25000,275000
KK0489,MILKU SUSU UHT STROBERI BTL 200mL,7,3000,21000
KK0175,DJARUM SUPER 12'S,8,18500,148000
KK0106,AQUA AIR MINERAL  BTL 600mL,43,2500,107500
KK1892,FANTA STOBERI KLG 250ML,2,5500,11000
KK1057,ULTRA MILK STROBERI 250ML,1,5500,5500
KK0563,TARO SNACK BARBEQUE  9g,4,1000,4000
KK1128,TANGO WAFLE CRANCH CHOX,3,500,1500
KK1781,PADIMAS BOLU LAPIS COKLAT,17,500,8500
KK1132,QTELA BBQ 30G,10,2000,20000
KK1768,ULTRA MIMI KIDS STRAWBERRY 125ML,6,3000,18000
KK1410,SARI WANGI SCT,2,1000,2000
KK0723,GARUDA PILUS PDS 85G,2,6000,12000
KK1556,FULLO VANILA MILK 8G,14,500,7000
KK1803,BENDERA FF COKELAT 560G,1,16000,16000
KK0093,NUTRISARI JERUK PERAS SCT 14g,5,1500,7500
KK1811,GAGA MI TELUR A1 KUNING,1,4000,4000
KK0056,ADEM SARI SCT,3,2000,6000
KK1898,FORTUNE BTL 1L,2,17500,35000
KK0186,ANTANGIN JRG 15mL,17,3000,51000
KK0541,GG SURYA PRO 16'S,5,21000,105000
KK1619,MY BABY POWDER SWEET FLORAL 50G,1,3500,3500
KK1752,TARO 3D POTATO 17G,9,2000,18000
KK1826,GOODTIME COFFE 72G,2,6500,13000
KK1574,ATTACK PLUS SOFTENER 800G,1,21000,21000
KK0643,ULTRA JAYA SARI KACANG HIJAU 150ML,3,3000,9000
KK0094,MARLBORO HARDPACK 20'S,3,31000,93000
KK0054,AMPLOP MERPATI TANGGUNG,18,250,4500
KK0513,TOP WHITE COFFEE,4,1000,4000
KK0086,ABC KACANG HIJAU 200mL,2,3500,7000
KK1274,EXCEL PINK,9,11000,99000
